NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
repce;Nitrogen;5;közepes;6,4
repce;Nitrogen;5;jó;6
repce;Nitrogen;5;igen jó;3,5
repce;Nitrogen;6;igen gyenge;6,9
repce;Nitrogen;6;gyenge;6,6
repce;Nitrogen;6;közepes;6,3
repce;Nitrogen;6;jó;6
repce;Nitrogen;6;igen jó;4
repce;Foszfor;1;igen gyenge;5
repce;Foszfor;1;gyenge;4,5
repce;Foszfor;1;közepes;4
repce;Foszfor;1;jó;3,8
repce;Foszfor;1;igen jó;3
repce;Foszfor;2;igen gyenge;5
repce;Foszfor;2;gyenge;4,5
repce;Foszfor;2;közepes;4
repce;Foszfor;2;jó;3,7
repce;Foszfor;2;igen jó;3,4
repce;Foszfor;3;igen gyenge;6,6
repce;Foszfor;3;gyenge;5,6
repce;Foszfor;3;közepes;5
repce;Foszfor;3;jó;4,7
repce;Foszfor;3;igen jó;3,9
repce;Foszfor;4;igen gyenge;4,8
repce;Foszfor;4;gyenge;4,2
repce;Foszfor;4;közepes;4
repce;Foszfor;4;jó;3,7
repce;Foszfor;4;igen jó;2,4
repce;Foszfor;5;igen gyenge;5,5
repce;Foszfor;5;gyenge;5
repce;Foszfor;5;közepes;4,8
repce;Foszfor;5;jó;4,6
repce;Foszfor;5;igen jó;3,4
repce;Foszfor;6;igen gyenge;4,7
repce;Foszfor;6;gyenge;4,1
repce;Foszfor;6;közepes;3,8
repce;Foszfor;6;jó;3,5
repce;Foszfor;6;igen jó;2
repce;Kalium;1;igen gyenge;5,6
repce;Kalium;1;gyenge;4,8
repce;Kalium;1;közepes;4
repce;Kalium;1;jó;3
repce;Kalium;1;igen jó;2
repce;Kalium;2;igen gyenge;5,8
repce;Kalium;2;gyenge;5,2
repce;Kalium;2;közepes;4,6
repce;Kalium;2;jó;3,9
repce;Kalium;2;igen jó;3
repce;Kalium;3;igen gyenge;7,4
repce;Kalium;3;gyenge;5,8
repce;Kalium;3;közepes;4,8
repce;Kalium;3;jó;4,2
repce;Kalium;3;igen jó;3,2
repce;Kalium;4;igen gyenge;5,8
repce;Kalium;4;gyenge;5,5
repce;Kalium;4;közepes;5,2
repce;Kalium;4;jó;4,4
repce;Kalium;4;igen jó;3,2
repce;Kalium;5;igen gyenge;5,8
repce;Kalium;5;gyenge;4,8
repce;Kalium;5;közepes;4,4
repce;Kalium;5;jó;4
repce;Kalium;5;igen jó;2,5
repce;Kalium;6;igen gyenge;5,6
repce;Kalium;6;gyenge;5,3
repce;Kalium;6;közepes;5
repce;Kalium;6;jó;4,2
repce;Kalium;6;igen jó;3
szója;Nitrogen;1;igen gyenge;7
szója;Nitrogen;1;gyenge;6,6
szója;Nitrogen;1;közepes;6
szója;Nitrogen;1;jó;4,9
szója;Nitrogen;1;igen jó;2,4
szója;Nitrogen;2;igen gyenge;7,2
szója;Nitrogen;2;gyenge;6,75
szója;Nitrogen;2;közepes;6,2
szója;Nitrogen;2;jó;5,5
szója;Nitrogen;2;igen jó;3
szója;Nitrogen;3;igen gyenge;7,5
szója;Nitrogen;3;gyenge;7,25
szója;Nitrogen;3;közepes;6,8
szója;Nitrogen;3;jó;6
szója;Nitrogen;3;igen jó;3,5
szója;Foszfor;1;igen gyenge;6,2
szója;Foszfor;1;gyenge;5,75
szója;Foszfor;1;közepes;5,1
szója;Foszfor;1;jó;4
szója;Foszfor;1;igen jó;2
szója;Foszfor;2;igen gyenge;6
szója;Foszfor;2;gyenge;5,6
szója;Foszfor;2;közepes;5
szója;Foszfor;2;jó;4
szója;Foszfor;2;igen jó;2
szója;Foszfor;3;igen gyenge;6,4
szója;Foszfor;3;gyenge;6
szója;Foszfor;3;közepes;5,4
szója;Foszfor;3;jó;4,4
szója;Foszfor;3;igen jó;3
szója;Kalium;1;igen gyenge;6,2
szója;Kalium;1;gyenge;5,8
szója;Kalium;1;közepes;5,2
szója;Kalium;1;jó;4,2
szója;Kalium;1;igen jó;2,2
szója;Kalium;2;igen gyenge;6,5
szója;Kalium;2;gyenge;6
szója;Kalium;2;közepes;5,4
szója;Kalium;2;jó;4,3
szója;Kalium;2;igen jó;2,4
szója;Kalium;3;igen gyenge;6
szója;Kalium;3;gyenge;5,6
szója;Kalium;3;közepes;5
szója;Kalium;3;jó;4
szója;Kalium;3;igen jó;2,6
silókukorica;Nitrogen;1;igen gyenge;0,6
silókukorica;Nitrogen;1;gyenge;0,55
silókukorica;Nitrogen;1;közepes;0,47
silókukorica;Nitrogen;1;jó;0,35
silókukorica;Nitrogen;1;igen jó;0,25
silókukorica;Nitrogen;2;igen gyenge;0,65
silókukorica;Nitrogen;2;gyenge;0,6
silókukorica;Nitrogen;2;közepes;0,52
silókukorica;Nitrogen;2;jó;0,4
silókukorica;Nitrogen;2;igen jó;0,3
silókukorica;Nitrogen;3;igen gyenge;0,6
silókukorica;Nitrogen;3;gyenge;0,55
silókukorica;Nitrogen;3;közepes;0,45
silókukorica;Nitrogen;3;jó;0,38
silókukorica;Nitrogen;3;igen jó;0,25
silókukorica;Nitrogen;4;igen gyenge;0,75
silókukorica;Nitrogen;4;gyenge;0,65
silókukorica;Nitrogen;4;közepes;0,55
silókukorica;Nitrogen;4;jó;0,45
silókukorica;Nitrogen;4;igen jó;0,35
